iter	Passed	Remaining
1335	1852	2307
1336	1854	2306
1337	1855	2305
1338	1857	2304
1339	1859	2303
1340	1860	2301
1341	1862	2300
1342	1863	2299
1343	1865	2298
1344	1866	2296
1345	1868	2295
1346	1869	2294
1347	1871	2293
1348	1872	2291
1349	1874	2290
1350	1875	2289
1351	1876	2287
1352	1878	2286
1353	1879	2285
1354	1880	2283
1355	1882	2282
1356	1883	2280
1357	1885	2279
1358	1886	2278
1359	1888	2277
1360	1890	2276
1361	1891	2274
1362	1893	2273
1363	1894	2272
1364	1895	2270
1365	1897	2269
1366	1898	2268
1367	1900	2266
1368	1901	2265
1369	1902	2263
1370	1904	2262
1371	1905	2260
1372	1906	2259
1373	1908	2258
1374	1909	2257
1375	1910	2255
1376	1912	2254
1377	1914	2253
1378	1915	2252
1379	1917	2251
1380	1919	2250
1381	1920	2248
1382	1922	2247
1383	1923	2246
1384	1924	2244
1385	1926	2243
1386	1928	2242
1387	1929	2241
1388	1931	2239
1389	1932	2238
1390	1933	2237
1391	1935	2235
1392	1936	2234
1393	1938	2233
1394	1939	2231
1395	1941	2230
1396	1942	2228
1397	1943	2227
1398	1945	2226
1399	1946	2224
1400	1948	2223
1401	1949	2222
1402	1951	2220
1403	1952	2219
1404	1954	2218
1405	1955	2217
1406	1957	2215
1407	1958	2214
1408	1959	2212
1409	1960	2211
1410	1961	2209
1411	1963	2208
1412	1964	2206
1413	1966	2205
1414	1967	2203
1415	1969	2202
1416	1970	2201
1417	1973	2201
1418	1974	2200
1419	1976	2199
1420	1977	2197
1421	1979	2196
1422	1980	2195
1423	1982	2194
1424	1984	2193
1425	1986	2192
1426	1988	2191
1427	1989	2190
1428	1991	2189
1429	1993	2188
1430	1994	2186
1431	1995	2185
1432	1997	2183
1433	1998	2182
1434	1999	2181
1435	2001	2179
1436	2002	2178
1437	2003	2176
1438	2005	2175
1439	2006	2174
1440	2008	2173
1441	2009	2171
1442	2011	2170
1443	2012	2169
1444	2014	2167
1445	2016	2167
1446	2017	2165
1447	2019	2164
1448	2020	2162
1449	2021	2161
1450	2023	2159
1451	2024	2158
1452	2026	2157
1453	2027	2155
1454	2028	2153
1455	2029	2152
1456	2030	2150
1457	2032	2149
1458	2033	2147
1459	2034	2146
1460	2036	2144
1461	2037	2143
1462	2039	2142
1463	2040	2141
1464	2042	2139
1465	2043	2138
1466	2044	2136
1467	2046	2135
1468	2047	2134
1469	2048	2132
1470	2050	2131
1471	2051	2129
1472	2053	2128
1473	2054	2127
1474	2056	2125
1475	2057	2124
1476	2059	2123
1477	2060	2122
1478	2061	2120
1479	2063	2119
1480	2065	2118
1481	2066	2116
1482	2067	2115
1483	2069	2113
1484	2070	2112
1485	2072	2111
1486	2073	2110
1487	2075	2108
1488	2076	2107
1489	2077	2105
1490	2079	2104
1491	2080	2103
1492	2082	2101
1493	2083	2099
1494	2085	2098
1495	2086	2097
1496	2087	2095
1497	2088	2094
1498	2090	2093
1499	2091	2091
1500	2092	2090
1501	2094	2088
1502	2095	2087
1503	2097	2086
1504	2098	2084
1505	2100	2083
1506	2101	2081
1507	2103	2081
1508	2105	2079
1509	2106	2078
1510	2107	2076
1511	2108	2075
1512	2110	2073
1513	2111	2072
1514	2113	2071
1515	2114	2069
1516	2116	2068
1517	2117	2067
1518	2118	2065
1519	2120	2064
1520	2121	2063
1521	2122	2061
1522	2124	2060
1523	2125	2058
1524	2126	2057
1525	2128	2056
1526	2130	2054
1527	2131	2053
1528	2132	2051
1529	2134	2050
1530	2135	2049
1531	2136	2047
1532	2138	2045
1533	2139	2044
1534	2140	2042
1535	2141	2041
1536	2143	2040
1537	2144	2038
1538	2146	2037
1539	2147	2035
1540	2149	2034
1541	2150	2033
1542	2152	2032
1543	2153	2031
1544	2155	2029
1545	2156	2028
1546	2158	2026
1547	2159	2025
1548	2160	2024
1549	2162	2022
1550	2164	2022
1551	2165	2020
1552	2166	2019
1553	2168	2017
1554	2169	2016
1555	2170	2014
1556	2172	2013
1557	2173	2011
1558	2174	2010
1559	2176	2009
1560	2177	2007
1561	2179	2006
1562	2180	2004
1563	2182	2003
1564	2183	2002
1565	2185	2000
1566	2186	1999
1567	2188	1998
1568	2189	1996
1569	2190	1995
1570	2192	1994
1571	2193	1992
1572	2195	1991
1573	2196	1990
1574	2198	1988
1575	2199	1987
1576	2200	1986
1577	2202	1984
1578	2203	1983
1579	2205	1982
1580	2206	1980
1581	2207	1979
1582	2209	1978
1583	2211	1976
1584	2212	1975
1585	2213	1973
1586	2215	1972
1587	2216	1970
1588	2218	1969
1589	2219	1968
